file,#,organization-name,city-state,organization-type,position-held,from,to
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,163,TRUMP MARKS ATLANTA LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,5/2008,1/2017
Ivanka Trump NE278e,164,TRUMP MARKS ATLANTA MEMBER CORP (pass-thru company for TRUMP MARKS ATLANTA LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,5/2008,1/2017
Ivanka Trump NE278e,165,TRUMP MARKS BATUMI LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,3/2011,1/2017
Ivanka Trump NE278e,166,TRUMP MARKS BATUMI MANAGING MEMBER CORP (pass-thru company for TRUMP MARKS BATUMI LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,3/2011,1/2017
Ivanka Trump NE278e,167,TRUMP MARKS CANOUAN LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,5/2007,1/2017
Ivanka Trump NE278e,168,TRUMP MARKS CHICAGO LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,4/2010,1/2017
Ivanka Trump NE278e,169,TRUMP MARKS CHICAGO MEMBER CORP (pass-thru company for TRUMP MARKS CHICAGO LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,4/2010,1/2017
Ivanka Trump NE278e,170,TRUMP MARKS DUBAl CORP (pass-thru company for TRUMP MARKS DUBAI LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,171,TRUMP MARKS DUBAI LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,172,TRUMP MARKS EGYPT LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,9/2007,1/2017
Ivanka Trump NE278e,173,TRUMP MARKS FINE FOODS LLC (license holder),"New York, New York",Limited Liability Company,Vice President,9/2009,1/2017
Ivanka Trump NE278e,174,TRUMP MARKS FINE FOODS MEMBER CORP (pass-thru company for TRUMP MARKS FINE FOODS LLC (license holder)),"New York, New York",Corporation,Vice President,9/2009,1/2017
Ivanka Trump NE278e,175,TRUMP MARKS HOLLYWOOD CORP (pass- thru company for TRUMP MARKS HOLLYWOOD LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,4/2007,1/2017
Ivanka Trump NE278e,176,TRUMP MARKS HOLLYWOOD LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,4/2007,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,177,TRUMP MARKS ISTANBUL II CORP (pass-thru company for TRUMP MARKS ISTANBUL II LLC (license holder)),"New York, New York",Corporation,Executive Vice President,3/2008,1/2017
Ivanka Trump NE278e,178,TRUMP MARKS ISTANBUL II LLC (license holder),"New York, New York",Limited Liability Company,Vice President,3/2008,1/2017
Ivanka Trump NE278e,179,TRUMP MARKS JERSEY CITY CORP (pass-thru company for TRUMP MARKS JERSEY CITY LLC (license holder)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,180,TRUMP MARKS JERSEY CITY LLC (inactive license deal),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,181,TRUMP MARKS LAS VEGAS LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,9/2007,1/2017
Ivanka Trump NE278e,182,TRUMP MARKS LLC (license holder),"New York, New York",Limited Liability Company,Vice President,2/2005,1/2017
Ivanka Trump NE278e,183,TRUMP MARKS MATTRESS LLC (license holder),"New York, New York",Limited Liability Company,Vice President,8/2008,1/2017
Ivanka Trump NE278e,184,TRUMP MARKS MATTRESS MEMBER CORP (pass-thru company for TRUMP MARKS MATTRESS LLC (license holder)),"New York, New York",Corporation,Executive Vice President,8/2008,1/2017
Ivanka Trump NE278e,185,TRUMP MARKS MENSWEAR LLC (license holder),"New York, New York",Limited Liability Company,Vice President,8/2009,1/2017
Ivanka Trump NE278e,186,TRUMP MARKS MENSWEAR MEMBER CORP (pass-thru company for TRUMP MARKS MENSWEAR LLC (license holder)),"New York, New York",Corporation,Vice President,8/2009,1/2017
Ivanka Trump NE278e,187,TRUMP MARKS MUMBAI LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2010,1/2017
Ivanka Trump NE278e,188,TRUMP MARKS MUMBAI MEMBER CORP (pass-thru company for TRUMP MARKS MUMBAI LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,10/2010,1/2017
Ivanka Trump NE278e,189,TRUMP MARKS NEW ROCHELLE CORP (pass- thru company for TRUMP MARKS NEW ROCHELLE LLC (license holder)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,190,TRUMP MARKS NEW ROCHELLE LLC (license holder),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,191,TRUMP MARKS PALM BEACH CORP (pass- thru company for TRUMP MARKS PALM BEACH LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,192,TRUMP MARKS PALM BEACH LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,193,TRUMP MARKS PANAMA CORP (pass-thru company for TRUMP MARKS PANAMA LLC (license holder)),"New York, New York",Corporation,Vice President,4/2007,1/2017
Ivanka Trump NE278e,194,TRUMP MARKS PANAMA LLC (license holder),"New York, New York",Limited Liability Company,Vice President,4/2007,1/2017
Ivanka Trump NE278e,195,TRUMP MARKS PHILADELPHIA CORP (pass- thru company for TRUMP MARKS PHILADELPHIA LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,4/2007,1/2017
Ivanka Trump NE278e,196,TRUMP MARKS PHILADELPHIA LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,4/2007,1/2017
Ivanka Trump NE278e,197,TRUMP MARKS PHILIPPINES CORP (pass- thru company for TRUMP MARKS PHILIPPINES LLC (license holder)),"New York, New York",Corporation,Vice President,3/2008,1/2017
Ivanka Trump NE278e,198,TRUMP MARKS PHILIPPINES LLC (license holder),"New York, New York",Limited Liability Company,Vice President,3/2008,1/2017
Ivanka Trump NE278e,199,TRUMP MARKS PRODUCTS LLC (license holder),"New York, New York",Limited Liability Company,Executive Vice President,9/2010,1/2017
Ivanka Trump NE278e,200,TRUMP MARKS PRODUCTS MEMBER CORP (pass-thru company for TRUMP MARKS PRODUCTS LLC (license holder)),"New York, New York",Corporation,Executive Vice President,9/2010,1/2017
Ivanka Trump NE278e,201,TRUMP MARKS PUERTO RICO I LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,12/2007,1/2017
Ivanka Trump NE278e,202,TRUMP MARKS PUERTO RICO I MEMBER CORP (pass-thru company for TRUMP MARKS PUERTO RICO I LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,12/2007,1/2017
Ivanka Trump NE278e,203,TRUMP MARKS PUNTA DEL ESTE LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,1/2012,1/2017
Ivanka Trump NE278e,204,TRUMP MARKS REAL ESTATE LLC (license holder),"New York, New York",Limited Liability Company,Vice President,2/2009,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,205,TRUMP MARKS SOHO LLC (license deal),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,206,TRUMP MARKS STAMFORD CORP (pass-thru company for TRUMP MARKS STAMFORD LLC (license deal)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,207,TRUMP MARKS STAMFORD LLC (license deal),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,208,TRUMP MARKS SUNNY ISLES I LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,7/2010,1/2017
Ivanka Trump NE278e,209,TRUMP MARKS TORONTO LP (dormant/inactive),"New York, New York",Limited Partnership,Vice President,6/2016,1/2017
Ivanka Trump NE278e,210,TRUMP MARKS WAIKIKI CORP (pass-thru company for TRUMP MARKS WAIKIKI LLC (license holder)),"New York, New York",Corporation,Vice President,4/2007,1/2017
Ivanka Trump NE278e,211,TRUMP MARKS WAIKIKI LLC (license holder),"New York, New York",Limited Liability Company,Vice President,4/2007,1/2017
Ivanka Trump NE278e,212,TRUMP MARKS WESTCHESTER CORP (pass- thru company for TRUMP MARKS WESTCHESTER LLC (license deal)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,213,TRUMP MARKS WESTCHESTER LLC (license deal),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,214,TRUMP MARKS WHITE PLAINS CORP (pass- thru company for TRUMP MARKS WHITE PLAINS LLC (license holder)),"New York, New York",Corporation,Vice President,6/2007,1/2017
Ivanka Trump NE278e,215,TRUMP MARKS WHITE PLAINS LLC (license holder),"New York, New York",Limited Liability Company,Vice President,6/2007,1/2017
Ivanka Trump NE278e,216,TRUMP MIAMI RESORT MANAGEMENT LLC (management company),"New York, New York",Limited Liability Company,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,217,TRUMP MIAMI RESORT MANAGEMENT MEMBER CORP (pass-thru company for TRUMP MIAMI RESORT MANAGEMENT LLC (management company)),"New York, New York",Corporation,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,218,TRUMP NATIONAL GOLF CLUB COLTS NECK LLC (golf club),"New York, New York",Limited Liability Company,Vice President,7/2008,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,219,"TRUMP NATIONAL GOLF CLUB LLC (a/k/a Trump National Golf Club) (golf club in Briarcliff Manor, NY)","New York, New York",Limited Liability Company,Vice President,7/2008,1/2017
Ivanka Trump NE278e,220,"TRUMP NATIONAL GOLF CLUB MEMBER CORP (pass-thru company for TRUMP NATIONAL GOLF CLUB LLC (golf club in Briarcliff Manor, NY))","New York, New York",Corporation,Executive Vice President,11/2011,1/2017
Ivanka Trump NE278e,221,TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC (golf club),"New York, New York",Limited Liability Company,Vice President,2/2009,1/2017
Ivanka Trump NE278e,222,TRUMP NATIONAL GOLF CLUB WASHINGTON DC MEMBER CORP (pass-thru company for TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC (golf club)),"New York, New York",Corporation,Vice President,2/2009,1/2017
Ivanka Trump NE278e,223,"TRUMP OLD POST OFFICE LLC (hotel in Washington, DC)","New York, New York",Limited Liability Company,Executive Vice President,6/2011,1/2017
Ivanka Trump NE278e,224,TRUMP ORGANIZATION LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President/EVP,2/2009,1/2017
Ivanka Trump NE278e,225,TRUMP PANAMA CONDOMINIUM MANAGEMENT LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,12/2010,1/2017
Ivanka Trump NE278e,226,TRUMP PANAMA CONDOMINIUM MEMBER CORP (pass-thru company for TRUMP PANAMA CONDOMINIUM MANAGEMENT LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,12/2010,1/2017
Ivanka Trump NE278e,227,TRUMP PANAMA HOTEL MANAGEMENT LLC (management company),"New York, New York",Limited Liability Company,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,228,TRUMP PANAMA HOTEL MANAGEMENT MEMBER CORP (pass-thru company for TRUMP PANAMA HOTEL MANAGEMENT LLC (management company)),"New York, New York",Corporation,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,229,TRUMP PARK AVENUE LLC (residential & commercial real estate),"New York, New York",Limited Liability Company,Vice President,2/2012,1/2017
Ivanka Trump NE278e,230,TRUMP RESTAURANTS LLC (restaurant),"New York, New York",Limited Liability Company,Executive Vice President,7/2012,1/2017
Ivanka Trump NE278e,231,"TRUMP RUFFIN COMMERCIAL LLC (commercial real estate in Las Vegas, NV)","New York, New York",Limited Liability Company,Vice President,10/2007,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,232,"TRUMP RUFFIN TOWER I LLC (commercial real estate in Las Vegas, NV)","Las Vegas, Nevada",Limited Liability Company,Vice President,1/2007,1/2017
Ivanka Trump NE278e,233,TRUMP SALES & LEASING CHICAGO LLC (commercial real estate),"Chicago, Illinois",Limited Liability Company,Vice President,10/2009,1/2017
Ivanka Trump NE278e,234,TRUMP SALES & LEASING CHICAGO MEMBER CORP (pass-thru company for TRUMP SALES & LEASING CHICAGO LLC (commercial real estate)),"Chicago, Illinois",Corporation,Vice President,10/2009,1/2017
Ivanka Trump NE278e,235,TRUMP SOHO MEMBER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,4/2006,1/2017
Ivanka Trump NE278e,236,"TRUMP TORONTO DEVELOPMENT, INC. (license deal)","New York, New York",Corporation,Vice President,6/2016,1/2017
Ivanka Trump NE278e,237,TRUMP TORONTO HOTEL MANAGEMENT CORP (license deal),"Toronto, Canada, Outside U.S.",Corporation,Vice President,1/2015,1/2017
Ivanka Trump NE278e,238,TRUMP TORONTO MEMBER CORP (dormant/inactive),"New York, New York",Corporation,Vice President,6/2016,1/2017
Ivanka Trump NE278e,239,"TRUMP VINEYARD ESTATES LLC (vineyard in Charlottesville, VA)","New York, New York",Limited Liability Company,Executive Vice President,3/2011,1/2017
Ivanka Trump NE278e,240,"TRUMP VIRGINIA ACQUISITIONS LLC (commercial real estate in Charlottesville, VA)","New York, New York",Limited Liability Company,Executive Vice President,1/2011,1/2017
Ivanka Trump NE278e,241,TTTT VENTURE LLC,"New York, New York",Limited Liability Company,"Executive Vice President, Qualifying Manager & Treasurer",10/2015,1/2017
Ivanka Trump NE278e,242,TTTT VENTURE MEMBER CORP (pass-thru company),"New York, New York",Corporation,Executive Vice President & Treasurer,10/2015,1/2017
Ivanka Trump NE278e,243,TURNBERRY SCOTLAND LLC (pass-thru company for Golf Recreation Scotland Limited (pass-thru company for SLC Turnberry Limited (golf courses and resort))),"Turnberry, Scotland, Outside U.S.",Limited Liability Company,Executive Vice President,4/2014,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,244,TURNBERRY SCOTLAND MANAGING MEMBER CORP (pass-thru company for TURNBERRY SCOTLAND LLC (pass-thru company for Golf Recreation Scotland Limited (pass-thru company for SLC Turnberry Limited (golf courses and resort)))),"Turnberry, Scotland, Outside U.S.",Corporation,Executive Vice President,4/2014,1/2017
Ivanka Trump NE278e,245,TW VENTURE I MANAGING MEMBER CORP (pass-thru company for TW VENTURE I LLC (transportation services)),"Palm Beach, Florida",Corporation,Executive Vice President & Secretary,11/2013,1/2017
Ivanka Trump NE278e,246,TW VENTURE II LLC (pass-thru company for TIGL Ireland Enterprises Limited (golf course and resort)),"Doonbeg, Ireland, Outside U.S.",Limited Liability Company,Executive Vice President,1/2014,1/2017
Ivanka Trump NE278e,247,TW VENTURE I LLC (transportation services),"Palm Beach, Florida",Limited Liability Company,Executive Vice President & Secretary,11/2013,1/2017
Ivanka Trump NE278e,248,TW VENTURE II MANAGING MEMBER CORP (pass-thru company for TW VENTURE II LLC (pass-thru company for TIGL Ireland Enterprises Limited (golf course and resort))),"Doonbeg, Ireland, Outside U.S.",Corporation,Executive Vice President & Director,1/2014,1/2017
Ivanka Trump NE278e,249,"UNIT 2502 ENTERPRISES LLC (commercial real estate in Chicago, IL)","Chicago, Illinois",Limited Liability Company,Vice President,7/2008,1/2017
Ivanka Trump NE278e,250,VHPS LLC (unsold lots),"Los Angeles, California",Limited Liability Company,Executive Vice President,4/2010,1/2017
Ivanka Trump NE278e,251,WHITE COURSE LLC (management company),"Miami, Florida",Limited Liability Company,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,252,WHITE COURSE MANAGING MEMBER CORP (pass-thru company for WHITE COURSE LLC (management company)),"Miami, Florida",Corporation,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,253,IT OPERATIONS LLC (F/K/A IT Swimwear LLC),"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",7/2012,1/2017
Ivanka Trump NE278e,254,IT OPERATIONS MANAGING MEMBER CORP (F/K/A IT Swimwear Managing Member Corp),"New York, New York",Corporation,"Director, President, Chairman, Secretary & Treasurer",7/2012,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,255,IT APPAREL II LLC,"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",11/2012,1/2017
Ivanka Trump NE278e,256,IT APPAREL II MANAGING MEMBER CORP,"New York, New York",Corporation,"Director, Chairman, President, Secretary & Treasurer",11/2012,1/2017
Ivanka Trump NE278e,257,IT APPAREL LLC (dormant/inactive),"New York, New York",Limited Liability Company,"President, Treasurer & Secretary",4/2011,1/2017
Ivanka Trump NE278e,258,IT APPAREL MEMBER CORP (pass-thru company for IT APPAREL LLC (dormant/inactive)),"New York, New York",Corporation,"Director, President, Secretary & Treasurer",4/2011,1/2017
Ivanka Trump NE278e,259,IT BABY HOME LLC,"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",7/2016,1/2017
Ivanka Trump NE278e,260,IT BABY HOME MEMBER CORP,"New York, New York",Corporation,"Director, President, Chairman & Treasurer",7/2016,1/2017
Ivanka Trump NE278e,261,IT EYEWEAR LLC,"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",1/2012,1/2017
Ivanka Trump NE278e,262,IT EYEWEAR MANAGER CORP,"New York, New York",Corporation,"Director, President, Chairman & Treasurer",1/2012,1/2017
Ivanka Trump NE278e,263,IT FASHION JEWELRY LLC,"New York, New York",Limited Liability Company,"President, Treasurer, & Secretary",7/2016,1/2017
Ivanka Trump NE278e,264,IT FASHION JEWELRY MEMBER CORP,"New York, New York",Corporation,"Director, President, Chairman & Treasurer",7/2016,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,265,IT FRAGRANCE LLC,"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",1/2012,1/2017
Ivanka Trump NE278e,266,IT FRAGRANCE MANAGER CORP,"New York, New York",Corporation,"Director, President, Chairman, & Treasurer",1/2012,1/2017
Ivanka Trump NE278e,267,IT HANDBAGS LLC,"New York, New York",Limited Liability Company,"President, Treasurer",5/2010,1/2017
Ivanka Trump NE278e,268,IT HANDBAGS MEMBER CORP,"New York, New York",Corporation,"Director, President, Chairman, Treasurer",5/2010,1/2017
Ivanka Trump NE278e,269,IT HOME MARKS LLC,"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",12/2012,1/2017
Ivanka Trump NE278e,270,IT HOME MARKS MANAGING MEMBER CORP,"New York, New York",Corporation,"Director, President, Chairman, Treasurer, & Secretary",12/2012,1/2017
Ivanka Trump NE278e,271,IT INTERNATIONAL I LLC (dormant/inactive),"New York, New York",Limited Liability Company,"President, Treasurer, Secretary",8/2016,1/2017
Ivanka Trump NE278e,272,IT INTERNATIONAL I MEMBER CORP (pass- thru company for IT INTERNATIONAL LLC (dormant/inactive)),"New York, New York",Limited Liability Company,"Director, President, Chairman, Treasurer, Secretary",8/2016,1/2017
Ivanka Trump NE278e,273,IT OUTERWEAR LLC (dormant/inactive),"New York, New York",Limited Liability Company,President & Secretary,10/2010,1/2017
Ivanka Trump NE278e,274,IT OUTWEAR MEMBER CORP (pass-thru company for IT OUTERWEAR LLC (dormant/inactive)),"New York, New York",Corporation,"Director, President, Chairman, Treasurer",10/2010,1/2017
Ivanka Trump NE278e,275,IT PROMOTIONS LLC,"New York, New York",Limited Liability Company,President & Treasurer,2/2011,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,276,IVANKA TRUMP MARKS LLC,"New York, New York",Limited Liability Company,President,11/2009,1/2017
Ivanka Trump NE278e,277,IVANKA MARKS HOLDING CORP,"New York, New York",Corporation,President & Director,6/2016,1/2017
Ivanka Trump NE278e,278,IVANKA TRUMP MARKS II LLC,"New York, New York",Limited Liability Company,"President, Treasurer",4/2010,1/2017
Ivanka Trump NE278e,279,IVANKA TRUMP MARKS II MEMBER CORP,"New York, New York",Corporation,"Director, Chairman, President, Treasurer, & Secretary",5/2009,1/2017
Ivanka Trump NE278e,280,IVANKA TRUMP MARKS JEWELRY LLC,"New York, New York",Limited Liability Company,"President, Treasurer",6/2006,1/2017
Ivanka Trump NE278e,281,IVANKA TRUMP MARKS JEWELRY MEMBER CORP,"New York, New York",Corporation,"Director, President, Chairman & Treasurer",4/2010,1/2017
Ivanka Trump NE278e,282,IT COLLECTION LLC,"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",5/2013,1/2017
Ivanka Trump NE278e,283,502 6G LLC,"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",11/2015,5/2017
Ivanka Trump NE278e,284,IHOLDINGS CORP (dormant/inactive),"New York, New York",Corporation,President,7/2006,4/2017
Ivanka Trump NE278e,285,IHOLDINGS MADISON LLC (dormant/inactive),"New York, New York",Limited Liability Company,President,7/2006,5/2017
Ivanka Trump NE278e,286,IT INVESTORS I LLC (held investments),,Limited Liability Company,"President, Treasurer, Secretary",5/2014,1/2017
Ivanka Trump NE278e,287,IT PROPERTIES HOLDING COMPANY LLC (held investments),,Limited Liability Company,President & Treasurer,2/2010,5/2017
Ivanka Trump NE278e,288,IT WWW PUB LLC,"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",1/2016,5/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,289,IT WWW WRI LLC (received writer fee for Women Who Work),"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",1/2016,5/2017
Ivanka Trump NE278e,290,ITJK INVESTORS LLC (held investments),"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",4/2014,5/2017
Ivanka Trump NE278e,291,GCM Trust,"New York, New York",Trust,Trustee,4/2014,12/2016
Ivanka Trump NE278e,292,WWW Operations LLC,"New York, New York",Limited Liability Company,"President, Secretary, Treasurer",1/2016,5/2017
Kushner NE278e,,,,TYPE,,,
Kushner NE278e,1,"184 Kent Associates, LLC","New York, New York",Limited Liability Company,Managing Member,4/2015,1/2017
Kushner NE278e,2,"570 West Mount Pleasant Associates, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,1/2012,1/2017
Kushner NE278e,3,"570 West Mount Pleasant Realty Corp. (Residential Real Estate in Livingston, NJ)","Florham Park, New Jersey",Corporation,President,1/2012,1/2017
Kushner NE278e,4,"Chatham Hill Associates, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,9/2015,1/2017
Kushner NE278e,5,"Gellert 80 West End, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,7/2013,1/2017
Kushner NE278e,6,"Gowan Associates, LLC","New York, New York",Limited Liability Company,Managing Member,8/2014,1/2017
Kushner NE278e,7,"K 26 Journal Square, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,9/2016,1/2017
Kushner NE278e,8,"K 30 Journal Square Manager Corp. (Commercial Real Estate in Jersey City, NJ)","Florham Park, New Jersey",Corporation,President,1/2013,1/2017
Kushner NE278e,9,"K Astoria, LLC","New York, New York",Limited Liability Company,Non-member Manager,8/2015,1/2017
Kushner NE278e,10,"K GAIA Village 1 Associates, LLC","New York, New York",Limited Liability Company,Non-member Manager,7/2012,1/2017
Kushner NE278e,11,"K GAIA Village 2 Associates, LLC","New York, New York",Limited Liability Company,Non-member Manager,1/2013,1/2017
Kushner NE278e,12,"K Stonehage Village 1 Associates, LLC","New York, New York",Limited Liability Company,Managing Member,9/2013,1/2017
Kushner NE278e,13,"Village KF 2 KM, LLC","New York, New York",Limited Liability Company,Non-member Manager,12/2013,1/2017
Kushner NE278e,14,"Village KF 4-9-10 Associates, LLC - New York, NY","New York, New York",Limited Liability Company,Non-member Manager,12/2012,1/2017
Kushner NE278e,,,,TYPE,,,
Kushner NE278e,15,"K Maryland Associates, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,7/2012,1/2017
Kushner NE278e,16,"K Morgan Street Manager Corp (Residential Real Estate in Jersey City, NJ)","Florham Park, New Jersey",Corporation,President,11/2014,1/2017
Kushner NE278e,17,"K Morgan Street Construction Manager Corp. (Residential Real Estate in Jersey City, NJ)","Florham Park, New Jersey",Corporation,President,11/2014,1/2017
Kushner NE278e,18,"K Morgan Street Property Manager Corp. (Residential Real Estate in Jersey City, NJ)","Florham Park, New Jersey",Corporation,President,1/2016,1/2017
Kushner NE278e,19,"K One Journal Square Manager Corp. (Residential Real Estate in Jersey City, NJ)","Florham Park, New Jersey",Corporation,President,12/2014,1/2017
Kushner NE278e,20,"KC Dumbo Hotel, LLC","New York, New York",Limited Liability Company,Non-member Manager,10/2013,1/2017
Kushner NE278e,21,"KC Dumbo Office, LLC","New York, New York",Limited Liability Company,Non-member Manager,10/2013,1/2017
Kushner NE278e,22,"KF Middle River, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,7/2014,1/2017
Kushner NE278e,23,"KF Westwood Partner, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,7/2014,1/2017
Kushner NE278e,24,"Westwood Investors JV, LP","Florham Park, New Jersey",Limited Partnership,Manager,7/2014,1/2017
Kushner NE278e,25,"K/S Westwood GP, LLC (Residential Real Estate in Westwood and River Vale, NJ)","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,7/2014,1/2017
Kushner NE278e,26,"BLS Manager, LLC (Residential Real Estate in Brooklyn, NY)","New York, New York",Limited Liability Company,Non-member Manager,4/2014,1/2017
Kushner NE278e,27,"KC Profit Participation, LLC (Holding company for entities holding contingent rights to ownership interests in real estate)","New York, New York",Limited Liability Company,Managing Member,4/2014,1/2017
Kushner NE278e,28,"KFF 29 Second Avenue, LLC","New York, New York",Limited Liability Company,Non-member Manager,6/2014,1/2017
Kushner NE278e,29,"Kushner Midwest Partner 1, LLC","Florham Park, New Jersey",Limited Liability Company,Managing Member,5/2011,1/2017
Kushner NE278e,,,,TYPE,,,
Kushner NE278e,30,"Kushner Philadelphia Member, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,1/2013,1/2017
Kushner NE278e,31,"Monmouth Mall, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,8/2015,1/2017
Kushner NE278e,32,"Monmouth Mall 2, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,8/2015,1/2017
Kushner NE278e,33,"B Monmouth Mall, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,8/2015,1/2017
Kushner NE278e,34,New Puck Corp.,"New York, New York",Corporation,President,6/2011,1/2017
Kushner NE278e,35,"New Puck Residential Corp. (Commercial Real Estate in New York, NY)","New York, New York",Corporation,Vice President,12/2013,1/2017
Kushner NE278e,36,"STB Building Corp. (Residential Real Estate in Leonia, NJ)","New York, New York",Corporation,Vice President,3/2016,1/2017
Kushner NE278e,37,"Skyline Kushner, LLC","Florham Park, New Jersey",Limited Liability Company,Non-member Manager,5/2012,1/2017
Kushner NE278e,38,"Kushner Skyline Promote, LLC (Contingent right to ownership interest in Skyline Kushner LLC)","Florham Park, New Jersey",Limited Liability Company,Managing Member,5/2012,1/2017
Kushner NE278e,39,"Skyline JV GP, LLC (Residential Real Estate in Hasbrouck Heights, NJ)","Florham Park, New Jersey",Limited Liability Company,Managing Member,5/2012,1/2017
Kushner NE278e,40,"Times Square Associates, LLC","New York, New York",Limited Liability Company,Managing Member,10/2015,1/2017
Kushner NE278e,41,"Two Hundred Lafayette Kushner Manager, LLC (Commercial Real Estate in New York, NY)","New York, New York",Limited Liability Company,Managing Member,1/2012,1/2017
Kushner NE278e,42,"Two Hundred Lafayette Kushner Member, LLC (Commercial Real Estate in New York, NY)","New York, New York",Limited Liability Company,Managing Member,1/2012,1/2017
