file,part,#,endnote
Ivanka Trump NE278e,6.,4.17,"The structure of this entity is as follows: 4.17.1  KC DUMBO HOLDING LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1  RFR/K DUMBO LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.1  WATCHOWER CONSTRUCTION MANAGER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.2  WATCHTOWER PROPERTY MANAGER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.3  WATCHTOWER LEASING LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.4  DUMBO PROMOTE (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5  DUMBO WT VENTURE LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1  DUMBO WT SUB LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1.1  117 ADAMS OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1.2  77 SANDS OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1.3  55 PROSPECT OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1.4  81 PROSPECT OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.17.1.1.5.1.5  175 PEARL OWNER LLC (Commercial Real Estate in Brooklyn, NY)"
Ivanka Trump NE278e,6.,4.18,"The structure of this entity is as follows: 4.18.1  AK MEMBER LLC (Residential Real Estate in Middle River, MD) 4.18.1.1  MIDDLE RIVER JV LLC (Residential Real Estate in Middle River, MD) 4.18.1.1.1  CARROLL PARK HOLDINGS LLC (Residential Real Estate in Middle River, MD) 4.18.1.1.2  MORNINGSIDE PARK HOLDINGS LLC (Residential Real Estate in Middle River, MD) 4.18.1.1.3  ESSEX PARK HOLDINGS LLC (Residential Real Estate in Middle River, MD)"
Ivanka Trump NE278e,6.,4.19,"The structure of this entity is as follows: 4.19.1  K/S WESTWOOD PARTNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1  WESTWOOD INVESTORS JV, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.1  STANFORD GP, LLC (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.1.1  WESTWOOD CENTER STANFORD PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.2  WESTWOOD CENTER STANFORD PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.3  RC VILLAGE GP, LLC (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.3.1  RIVERVALE COLLIGON VILLAGE PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.4  RIVERVALE COLLIGON VILLAGE PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.5  COVENTRY GP, LLC (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.5.1  WESTWOOD CHARLES CONVENTRY PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.6  WESTWOOD CHARLES CONVENTRY PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.7  MADISON GP, LLC (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.7.1  WESTWOOD MADISON PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ) 4.19.1.1.8  WESTWOOD MADISON PROPERTY OWNER, L.P. (Residential Real Estate in Westwood & River Vale, NJ)"
Ivanka Trump NE278e,6.,4.20,"The structure of this entity is as follows: 4.20.1  K-BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1  BLS ASSOCIATES LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.1  BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.1.1  27 MONROE PLACE LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.1.2  38 MONROE PLACE LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.1.3  100 PIERREPONT STREET LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.2  BLS PORTFOLIO 2 LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.2.1  18 SYDNEY PLACE LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.2.2  89 HICKS STREET LLC (Residential Real Estate in Brooklyn, NY) 4.20.1.1.2.3  144 WILLOW STREET LLC (Residential Real Estate in Brooklyn, NY)"
Ivanka Trump NE278e,6.,4.21,See item 1.6 for entity structure.
Ivanka Trump NE278e,6.,4.22,See item 3.13 for entity structure.
Ivanka Trump NE278e,6.,4.23,"The structure of this entity is as follows: 4.23.1  ST LEONIA, LLC (Residential Real Estate in Leonia, NJ)"
Ivanka Trump NE278e,6.,4.24,"The structure of this entity is as follows: 4.24.1 ELMWOOD NYT PRINCIPAL, LLC (Commercial Real Estate in New York, NY) 4.24.1.1  ELMWOOD NYT HOLDINGS, LLC (Commercial Real Estate in New York, NY) 4.24.1.1.1  ELMWOOD NYT MEZZ, LLC (Commercial Real Estate in New York, NY) 4.24.1.1.1.1  ELMWOOD NYT OWNER, LLC (Commercial Real Estate in New York, NY) 4.24.2  OAKWOOD NYT PRINCIPAL, LLC (Commercial Real Estate in New York, NY) 4.24.2.1  OAKWOOD NYT HOLDINGS, LLC (Commercial Real Estate in New York, NY) 4.24.2.1.1  OAKWOOD NYT MEZZ, LLC (Commercial Real Estate in New York, NY) 4.24.2.1.1.1  OAKWOOD NYT OWNER, LLC (Commercial Real Estate in New York, NY) 4.24.3  WALLKILL NYT PRINCIPAL, LLC (Commercial Real Estate in New York, NY) 4.24.3.1  WALLKILL NYT HOLDINGS, LLC (Commercial Real Estate in New York, NY) 4.24.3.1.1  WALLKILL NYT MEZZ, LLC (Commercial Real Estate in New York, NY) 4.24.3.1.1.1  WALLKILL NYT OWNER, LLC (Commercial Real Estate in New York, NY) 4.24.4  LANDINGS NYT PRINCIPAL, LLC (Commercial Real Estate in New York, NY) 4.24.4.1  LANDINGS NYT HOLDINGS, LLC (Commercial Real Estate in New York, NY) 4.24.4.1.1  LANDINGS NYT MEZZ, LLC (Commercial Real Estate in New York, NY) 4.24.4.1.1.1  LANDINGS NYT OWNER, LLC (Commercial Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.25,"The structure of this entity is as follows: 4.25.1  WARREN AT BAY HOLDINGS LLC (Commercial Real Estate in Jersey City, NJ) 4.25.1.1  WARREN AT BAY, LLC (Commercial Real Estate in Jersey City, NJ)"
Ivanka Trump NE278e,6.,4.26,"The structure of this entity is as follows: 4.26.1  KRL COLUMBIA HEIGHTS BROOKLYN LLC (Real Estate Under Construction in Brooklyn, NY) 4.26.1.1  25-30 COLUMBIA HEIGHTS (BROOKLYN) VENTURE, LLC (Real Estate Under Construction in Brooklyn, NY) 4.26.1.1.1  25-30 COLUMBIA HEIGHTS (Brooklyn), LLC (Real Estate Under Construction in Brooklyn, NY)"
Ivanka Trump NE278e,6.,4.28,"The structure of this entity is as follows: 4.28.1  80 MAID LLC (Commercial Real Estate in New York, NY) 4.28.1.1  NK 80 MAIDEN HOLDINGS, LLC (Commercial Real Estate in New York, NY) 4.28.1.1.1  NK 80 MAIDEN MEZZ, LLC (Commercial Real Estate in New York, NY) 4.28.1.1.1.1  NK 80 MAIDEN OWNER, LLC (Commercial Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.30,"The structure of this entity is as follows: 4.30.1  BLOCK 110 RESIDENTIAL LLC (Residential Real Estate in Kansas City, MO) 4.30.2  BLOCK 140 RESIDENTIAL LLC (Residential Real Estate in Kansas City, MO)"
Ivanka Trump NE278e,6.,4.31,"The structure of this entity is as follows: 4.31.1  STONE PORTFOLIO JV LLC (Residential Real Estate in New York, NY) 4.31.1.1  STONE PORTFOLIO LLC (Residential Real Estate in New York, NY) 4.31.1.1.1  KC3 - 101 MACDOUGAL STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.2  KC3 - 104 EAST 7TH STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.3  KC3 - 233 EAST 82ND STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.4  KC3 - 234-238 EAST 33RD STREET LLC(Residential Real Estate in New York, NY) 4.31.1.1.5  KC3 - 310 EAST 83RD STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.6  KC3 - 319-321 EAST 78TH STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.7  KC3 - 325 EAST 83RD STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.8  KC3 - 410 EAST 64TH STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.9  KC3 - 438-440 EAST 13TH STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.10  KC3 - 504 EAST 88TH STREET LLC (Residential Real Estate in New York, NY) 4.31.1.1.11  KC3 - 354-356 STATE STREET LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.32,"The structure of this entity is as follows: 4.32.1  PIER VILLAGE III JV LLC (Undeveloped Real Estate in Long Branch, NJ) 4.32.1.1  PIER VILLAGE III URBAN RENEWAL COMPANY, LLC (Undeveloped Real Estate in Long Branch, NJ)"
Ivanka Trump NE278e,6.,4.33,"The structure of this entity is as follows: 4.33.1  340 FLATBUSH LENDER LLC (Loan Receivable from 9 Dekalb Owner LLC, Brooklyn NY)"
Ivanka Trump NE278e,6.,4.36,This asset has been divested.
Ivanka Trump NE278e,6.,4.37,"This asset has been divested.  The structure of this entity is as follows: 4.37.1  666 ASSOCIATES, LP (Commercial Real Estate in New York, NY) 4.37.1.1  FIFTH K TWO, L.L.C. (Commercial Real Estate in New York, NY) 4.37.1.1.1  666 FIFTH EQUITY LLC (Commercial Real Estate in New York, NY) 4.37.1.1.1.1  666 FIFTH ASSOCIATES LLC (Commercial Real Estate in New York, NY) 4.37.1.2  666 KUSHNER LENDER LLC (Commercial Real Estate in New York, NY) 4.37.1.2.1  666 FIFTH ASSOCIATES LLC (Commercial Real Estate in New York, NY) 4.37.1.3  666 FIFTH CLEANING LLC (Commercial Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.38,This asset has been divested.  See item 1.8 for entity structure.
Ivanka Trump NE278e,6.,4.39,"This asset has been divested.  This entity has an interest in Bruckner Plaza Center, LLC. See item 1.8 for entity structure."
Ivanka Trump NE278e,6.,4.40,"This asset has been divested.  This entity has an interest in Bruckner Plaza Center, LLC. See item 1.8 for entity structure."
Ivanka Trump NE278e,6.,4.42,"The structure of this entity is as follows: 4.42.1  29 Second Avenue Realty LLC (residential real estate in New York, NY)"
Ivanka Trump NE278e,6.,8,"The structure of this entity is as follows: 8.1  55 CHALLENGER LLC (Commercial Real Estate in Ridgefield Park, NJ)"
Ivanka Trump NE278e,6.,10,See item 4.2 for entity structure.
Ivanka Trump NE278e,6.,11,See item 4.5 for entity structure.
Ivanka Trump NE278e,6.,13,"The structure of this entity is as follows: 13.1  KUSHNER MARYLAND PARTNERS, LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1  KUSHNER MARYLAND INVESTMENT FUND LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1.1  MARYLAND APARTMENT HOLDINGS 10-PACK INVESTOR, LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1.1.1  MARYLAND APARTMENT HOLDINGS 10-PACK JV, LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1.1.1.1  MARYLAND APARTMENT HOLDINGS PE 10-PACK JV, LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1.1.1.1.1  RP COVE VILLAGE, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.1.1  RP COVE APARTMENTS, LLC(Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2  SRH/LA BALTIMORE PROPERTIES LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1  SRH/LA BALTIMORE MEZZANINE, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.1  WHITEMARSH I, II, IV MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.1.1  COMMONS AT WHITEMARSH I, II, V, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.1.1.1  SRH/LA WHITEMARSH I, II, V APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.2  COMMONS AT WHITEMARSH I, II, V, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.2.1  SRH/LA WHITEMARSH I, II, V APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.3  WHITEMARSH III MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.3.1  COMMONS AT WHITEMARSH III, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.3.1.1  SRH/LA WHITEMARSH III APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.4  COMMONS AT WHITEMARSH III, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.4.1  SRH/LA WHITEMARSH III APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.5  WHITEMARSH IVA MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.5.1  COMMONS AT WHITEMARSH IVA, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.5.1.1  SRH/LA WHITEMARSH IVA APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.6  COMMONS AT WHITEMARSH IVA, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.6.1  SRH/LA WHITEMARSH IVA APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.7  WHITEMARSH IVB MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.7.1  COMMONS AT WHITEMARSH IVB, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.7.1.1  SRH/LA WHITEMARSH IVB APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.8  COMMONS AT WHITEMARSH IVB, LLC (Residential Real Estate in Baltimore County,"
Ivanka Trump NE278e,,,"MD) 13.1.1.1.1.1.2.1.8.1  SRH/LA WHITEMARSH IVB APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.9  HARBOR POINT I, II, IV MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.9.1  HARBOR POINT ESTATES I, II, IV, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.9.1.1  SRH/LA HARBOR POINT I, II, IV APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.10  HARBOR POINT ESTATES I, II, IV, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.2.1.10.1  SRH/LA HARBOR POINT I, II, IV APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3  SRH/LA CHESAPEAKE APARTMENTS LLC (Residential Real Estate in Baltimore Baltimore and Prince George's County, MD) 13.1.1.1.1.1.3.1  SRH/LA CHESAPEAKE MEZZANINE, LLC (Residential Real Estate in Baltimore and Prince George's County, MD) 13.1.1.1.1.1.3.1.1  DUTCH VILLAGE MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.1.1  DUTCH VILLAGE, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.1.1.1  SRH/LA DUTCH VILLAGE APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.2  DUTCH VILLAGE, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.2.1  SRH/LA DUTCH VILLAGE APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.3  FONTANA MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.3.1  FONTANA, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.3.1.1  SRH/LA FONTANA APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.4  FONTANA, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.4.1  SRH/LA FONTANA APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.5  HAMILTON MANOR MANAGER, INC. (Residential Real Estate in Prince George's County, MD) 13.1.1.1.1.1.3.1.5.1  HAMILTON MANOR APARTMENTS, LLC (Residential Real Estate in Prince George's County, MD) 13.1.1.1.1.1.3.1.5.1.1  SRH/LA HAMILTON MANOR APARTMENTS, LLC (Residential Real Estate in Prince George's County, MD) 13.1.1.1.1.1.3.1.6  HAMILTON MANOR APARTMENTS, LLC (Residential Real Estate in Prince George's County, MD) 13.1.1.1.1.1.3.1.6.1  SRH/LA HAMILTON MANOR APARTMENTS, LLC (Residential Real Estate in Prince George's County, MD) 13.1.1.1.1.1.3.1.7  HIGHLAND #179 MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.7.1  HIGHLAND #179, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.7.1.1  SRH/LA HIGHLAND #179 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.8  HIGHLAND #179, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.8.1  SRH/LA HIGHLAND #179 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.9  HIGHLAND #241 GP, INC. (Residential Real Estate in Baltimore County, MD)"
Ivanka Trump NE278e,,,"13.1.1.1.1.1.3.1.9.1  HIGHLAND #241, LLLP (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.9.1.1  SRH/LA HIGHLAND #241 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.10  HIGHLAND #241, LLLP (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.10.1  SRH/LA HIGHLAND #241 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.11  HIGHLAND #689 MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.11.1  HIGHLAND #689, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.11.1.1  SRH/LA HIGHLAND #689 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.12  HIGHLAND #689, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.12.1  SRH/LA HIGHLAND #689 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.13  PLEASANTVIEW MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.13.1  PLEASANTVIEW, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.13.1.1  PLEASANTVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.14  PLEASANTVIEW, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.14.1  PLEASANTVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.15  RIVERVIEW MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.15.1  RIVERVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.15.1.1  SRH/LA RIVERVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.16  RIVERVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.16.1  SRH/LA RIVERVIEW APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.17  WHISPERING WOODS #250 MANAGER, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.17.1  WHISPERING WOODS #250, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.17.1.1  SRH/LA WHISPERING WOODS #250 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.18  WHISPERING WOODS #250, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.18.1  SRH/LA WHISPERING WOODS #250 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.19  WHISPERING WOODS #299 GP, INC. (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.19.1  WHISPERING WOODS #299 LIMITED PARTNERSHIP (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.19.1.1  WHISPERING WOODS #299 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.20  WHISPERING WOODS #299 LIMITED PARTNERSHIP (Residential Real Estate in Baltimore County, MD) 13.1.1.1.1.1.3.1.20.1  WHISPERING WOODS #299 APARTMENTS, LLC (Residential Real Estate in Baltimore County, MD)"
Ivanka Trump NE278e,6.,14,"The structure of this entity is as follows: 14.1 MIDWEST PARTNERS 1 LLC (Residential Real Estate in Toledo, Middletown, Akron & Bedford Heights, OH, Pittsburgh, PA, and Speedway, IN) 14.1.1 HEARTLAND MULTIFAMILY JV LLC (Residential Real Estate in Toledo, OH, Bedford, OH, Akron, OH, Middletown, OH & Pittsburgh, PA) 14.1.1.1  TOLEDO PROPERTIES OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2  HEARTLAND MEZZANINE ASSOCIATES, LLC (Residential Real Estate in Toledo, OH, Bedford, OH, Akron, OH, Middletown, OH & Pittsburgh, PA) 14.1.1.2.1  MIRACLE MANOR PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.2  HUNTERS RIDGE PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.3  SUNNYDALE ESTATES PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.4  GEORGETOWN VILLAGE I OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.5  GEORGETOWN VILLAGE II OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.6  GEORGETOWN VILLAGE III OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.7  GEORGETOWN VILLAGE IV OWNER LLC (Residential Real Estate in Toledo, OH) 14.1.1.2.8  CEDARWOOD VILLAGE APARTMENTS I & II OWNER LLC (Residential Real Estate in Akron, OH) 14.1.1.2.9  CEDARWOOD VILLAGE APARTMENTS III OWNER LLC (Residential Real Estate in Akron, OH) 14.1.1.2.10  CEDARWOOD RIVERBEND OWNER LLC (Residential Real Estate in Akron, OH) 14.1.1.2.11  BAVARIAN WOODS OWNER LLC (Residential Real Estate in Middletown, OH) 14.1.1.2.12  COLUMBUS PARK PROPERTY OWNER LLC (Residential Real Estate in Bedford, OH) 14.1.1.2.13  LELAND POINT PARTNERS GP LLC (Residential Real Estate in Pittsburgh, PA) 14.1.1.2.14  LELAND POINT PARTNERS LP LLC (Residential Real Estate in Pittsburgh, PA) 14.1.1.2.14.1  LELAND POINT LIMITED PARTNER LP (Residential Real Estate in Pittsburgh, PA) 14.1.1.2.14.1.1  LELAND POINT OWNER LP (Residential Real Estate in Pittsburgh, PA) 14.1.1.2.15  LELAND POINT GP LLC (Residential Real Estate in Pittsburgh, PA) 14.1.1.2.15.1  LELAND POINT OWNER LP (Residential Real Estate in Pittsburgh, PA) 14.1.1.3  COPPERTREE PROPERTIES OWNER LLC (Residential Real Estate in Speedway, IN)) 14.2 HEARTLAND MULTIFAMILY JV LLC (Residential Real Estate in Toledo, OH, Bedford, OH, Akron, OH, Middletown, OH & Pittsburgh, PA) 14.2.1  TOLEDO PROPERTIES OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2  HEARTLAND MEZZANINE ASSOCIATES, LLC (Residential Real Estate in Toledo, OH, Bedford, OH, Akron, OH, Middletown, OH & Pittsburgh, PA) 14.2.2.1  MIRACLE MANOR PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.2  HUNTERS RIDGE PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.3  SUNNYDALE ESTATES PROPERTY OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.4  GEORGETOWN VILLAGE I OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.5  GEORGETOWN VILLAGE II OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.6  GEORGETOWN VILLAGE III OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.7  GEORGETOWN VILLAGE IV OWNER LLC (Residential Real Estate in Toledo, OH) 14.2.2.8  CEDARWOOD VILLAGE APARTMENTS I & II OWNER LLC (Residential Real Estate in Akron, OH) 14.2.2.9  CEDARWOOD VILLAGE APARTMENTS III OWNER LLC (Residential Real Estate in Akron, OH) 14.2.2.10  CEDARWOOD RIVERBEND OWNER LLC (Residential Real Estate in Akron, OH) 14.2.2.11  BAVARIAN WOODS OWNER LLC (Residential Real Estate in Middletown, OH) 14.2.2.12  COLUMBUS PARK PROPERTY OWNER LLC (Residential Real Estate in Bedford, OH) 14.2.2.13  LELAND POINT PARTNERS GP LLC (Residential Real Estate in Pittsburgh, PA) 14.2.2.14  LELAND POINT PARTNERS LP LLC (Residential Real Estate in Pittsburgh, PA) 14.2.2.14.1  LELAND POINT LIMITED PARTNER LP (Residential Real Estate in Pittsburgh, PA) 14.2.2.14.1.1  LELAND POINT OWNER LP (Residential Real Estate in Pittsburgh, PA) 14.2.2.15  LELAND POINT GP LLC (Residential Real Estate in Pittsburgh, PA)"
